POP Temp1 Temp2 Temp3 Temp4
AAL -0.752138441031881 -1.59363801987461 -2.37849795270129 -0.979876807723353
AKA -1.29636197956164 -2.61293499536591 -3.07703902036201 1.66273550982943
ALA 5.99652129974269 -1.88890208617757 -0.477942783146983 4.42587734491413
ALB 8.40517802284136 1.01773882748959 -1.69710527052358 -1.7550150708587
ALO -0.308229822201304 2.48806490045131 -0.63682997448285 -1.42437099905798
ARC 3.67866475935018 -9.45744430096697 3.75794597340754 -0.28833495213137
ASH 3.49046703946866 2.27233352885165 -2.01733488127432 -1.41372883839848
AVO 3.66526329132752 -1.62069227446763 1.19191010321559 -3.07215257394205
AYA -1.03904907845711 -2.98548364559013 -2.67129223715957 1.39773537131533
BAR 6.40218044274801 1.94088106071465 1.01518070475418 -2.35986573448343
BEL -6.30280691886761 -2.04604740727672 -0.43195919232362 0.548903141744513
BES 6.0763850504868 2.96280007478043 2.65846327142001 -1.93432435449632
BIC 0.977554106980543 2.91156818298312 -1.30796989956447 -0.358235050205848
BIG 4.12852001585114 -4.48370452265773 5.4559205540831 0.817230975092895
BII 10.2845718711607 3.53610721717221 -0.986226112726187 -0.751523191017123
BIL -0.45315055083391 -5.75729771797759 -0.576127229592621 0.944161687370037
BIQ -1.95238622371896 1.40448387122518 -0.490640714690633 -0.764946081764584
BIR 5.62337658955247 3.42883576541091 -0.67396273252363 -2.46871576754731
BLA -6.54065208095012 -1.26011828421818 2.97621214000643 -1.29021957215633
BON 6.43751427896521 2.19662647797251 3.35559364205143 0.747815413169906
BRI 9.10673258522703 4.23268048246269 -1.14781150372103 -0.50579918917592
CAM -7.32772016637816 3.72239769657885 5.40169215997883 2.84437948368222
CAN -2.45170062955628 -1.72557897393925 -1.484448915976 -0.661916548943201
CAP -0.462749724890025 1.88872002703445 -1.89121811508924 -1.02989056073126
CHA -0.0654567707351349 2.17590310429049 -1.95681072862795 -0.930146555810175
CHE 1.28362692499375 2.09536687307095 -0.919153311426403 -1.29663525299815
CHI -1.27801816489941 1.89604580842981 -0.805050794304631 -1.31778940946248
CHM -1.55346629272492 1.83293952462635 -0.70256839713368 -0.532001024249574
CHS -4.22258189971929 0.696130856705709 1.12165289621583 -0.692598583052978
CHW 3.20133216606326 3.5600531430586 -2.08420935487784 -0.75415386967969
CLA 1.51142267370873 5.95272013527287 1.64480637198505 0.573052295491809
CLR 11.9011271677842 -5.81266937370926 5.86289620223375 1.8391905188322
CLU -2.26466429821076 0.803572169711821 -2.44476101897473 0.228160382066806
COG -6.33734176461848 -0.777375715209028 3.28589585036335 -1.05238801188176
COL 3.95592034033348 1.01653924140757 0.900215555976183 -2.55782101894041
CON -1.0708990531425 1.44083139792039 -2.54918636317841 -0.166333921629259
COP -4.92369323600066 -1.4660248386342 -1.90090988621297 0.838867092289721
COW -1.86016413221407 2.15897881117973 0.465464300716481 -0.605223129129561
CRE 6.50578880424248 -2.49108871398313 -3.66392077832546 3.26989783233997
CWL 2.75118179049358 6.35434147627982 -0.751822839813998 0.276999062143277
DAM 6.37152965887057 -3.74425777913925 2.30777838379639 -0.683538815911412
DAT -4.75737717670012 -1.65929702040934 -2.37243437846436 0.765670864267189
DEE -4.85767743948069 -1.55639991034978 -2.42383210657859 0.812104186483148
DUT 3.47868232600631 0.658477153603486 5.25356163364777 -3.04291687340783
EAG 7.90132196610034 3.9398597657328 -0.788593629274623 -1.96341649478367
EEL 1.49953558461171 11.1702947797188 4.86244407753263 5.20086136990522
ELE -4.61720993614235 2.0204446642052 2.3766712202512 0.836970861060241
ELH 0.944078393491366 3.16063073340202 -3.34289482044721 0.684437054332118
ELL -4.63235241354056 2.00492029920086 2.38416493671078 0.834341395098464
ELW 0.944078393491366 3.16063073340202 -3.34289482044721 0.684437054332118
ENN -6.89627213884989 0.188464716897774 4.46871574553783 -0.686740404126794
EVE -2.33047833276416 -2.5374397670742 -1.10517872548695 -1.03238948251692
FEN -0.0996860858112487 -5.99232594783075 1.42412296097434 -3.56736883027022
FOR -5.82130045981755 -0.494497840196205 4.06144665349208 -1.43011745531713
FRO -1.29934136582882 -5.1415144949238 -5.30680067469777 1.72033619858705
FUN 3.86554475543823 -1.72515963548557 1.21654348821945 2.62457958384593
GAT 6.12005536624849 3.5834818921752 -0.913601059628558 -2.06164870504256
GEO 7.64463416314578 -6.82212275041335 5.04234978910334 0.853804989340546
GER 1.54434765706695 -4.90613877585613 0.367560972074507 1.93463488978683
GIL 1.42572232907017 -1.02787031029592 -3.0542085813119 -0.901445892014153
GLE -5.6495145600669 -1.35192362175501 -0.495800010291002 0.230990693402937
GNA -4.95124177662794 1.02820277363677 1.36142814979042 0.273411223798836
GOL -4.35380812547061 0.44903137728768 0.825313766369208 -0.43685475730838
GOO 2.42393254915816 -6.01775322446864 0.0874735987921332 2.04128276909033
GUN -0.648236401337319 -6.08803264165322 -1.909500093646 0.838224519329175
HAB 4.75397406598062 0.163071964853625 1.61668702808099 -3.14375781783107
HAR 5.35946060041078 1.82163134192545 1.51671881617769 -1.81111685531534
HEY -3.04057933290015 -0.176206082059201 -0.850908535158501 -0.80235626820815
HIC 0.300252468819231 -1.36931734692058 -0.763444730105688 -2.5582766421781
HOD -5.96401861951725 -1.07586203790302 2.77328229075286 -1.34999779424266
HOK -4.41687846968107 1.21110158667333 0.634775632878854 1.3850529491265
HOL -8.25300228646343 1.71684373986828 3.97106161285589 1.68250430507722
HOM 11.7998294305775 6.32412383084367 -4.56173730962281 2.23118953885998
HOP -6.56882427080022 0.262837031848845 4.32912179750484 -0.42636560704437
