POP Prec1 Prec2 Prec3
AAL -9.12611001917505 -0.419002570244673 2.31808477858126
AKA 2.0604199431807 -2.79026263088225 4.28381338587431
ALA 3.60924696891281 4.09450312348147 2.82126701472289
ALB 2.62488065083107 2.04069858379026 3.73618720885115
ALO -1.99849044102595 0.736332563045603 -0.583082369595092
ARC 6.54627491056499 -2.17461594051996 -0.822971222750298
ASH -0.554832160075606 2.58145104407335 -1.09191100992367
AVO 2.66420224887098 -1.33614684515162 3.33460600426877
AYA 2.03093476092502 -1.36322407093554 4.27730768994729
BAR 2.68679520360593 4.36977858445817 3.56393974925546
BEL -4.86131665341527 -6.37547697790007 3.88725545171781
BES 3.0967439145755 4.07371777339317 3.16341449937399
BIC -2.54889559248789 1.45439765528847 -2.8383313439984
BIG 5.22830298122663 1.00905930293823 0.539153631373386
BII 2.0723258522371 4.83065402944182 3.40872037723815
BIL 5.09543136884515 -2.49991365707018 1.6659114953906
BIQ -0.0114618790663887 1.50096058221719 -2.50695199420421
BIR 3.20371251557847 4.46923195087857 1.13800801042365
BLA -0.336029797327515 -5.6910455579159 -0.325842014373348
BON 5.07994283342844 4.70427841782649 2.14362630859386
BRI 3.65805394416234 5.26465903569487 2.3253625912466
CAM 3.39467266817935 -2.07135896949822 -6.64981670017285
CAN -11.1963922384616 -1.7663339903064 3.39762251122621
CAP -2.89843895569405 1.67438203766759 -2.24739952576451
CHA 0.651837605848056 0.790119365344227 -1.15101026264048
CHE 0.334950854279681 -0.0819428434020404 -0.506246451126808
CHI 0.436804645156278 -2.05584360558899 -0.307880789213625
CHM -0.99133802463754 3.52644284938041 -2.92656738667977
CHS 1.45660761546716 0.298893010334345 -3.15845417529954
CHW 0.67244228961301 1.30314145942294 -0.54714361016362
CLA -2.44152840293558 5.15404995764335 -4.54465319095882
CLR 7.28551271564377 0.0196839773972912 -0.760015016829471
CLU -3.83922087285154 1.52113885074535 0.489426370861277
COG 1.42959916525816 -4.21417490364443 -0.0220383600712003
COL 4.45907483912275 3.66704834366267 1.48045736687576
CON -7.11151239755277 1.27302521461266 -2.24625085264706
COP -4.32470779534068 0.720701257087384 0.119976466766713
COW -2.89694598878421 5.88914036318315 -4.15689645082787
CRE 4.94026547550628 -0.629082259849126 1.9987294722799
CWL -3.99281739856083 7.40657549744441 -4.21050606892298
DAM 5.09575757224813 0.0946780707865656 1.98306097795856
DAT -2.19780640113057 -2.30253548848519 1.88111182574403
DEE -4.54701789822039 -2.52298278845503 1.03854852509293
DUT 4.76110202320867 1.55911474978709 2.71472053973062
EAG -0.0711359281093807 6.15126818387057 3.81246589615318
EEL 1.16887148514796 2.72867227545926 -7.26360190756964
ELE -1.5703965378225 -1.43550772737293 -3.52196673177461
ELH -5.05129500551622 8.10871597338717 -3.43728036069869
ELL -1.55631568214256 -1.45907968132038 -3.52147540705429
ELW -5.05129500551622 8.10871597338717 -3.43728036069869
ENN 2.89787343913009 -2.99123787766012 -3.19494162191584
EVE -8.18641405752627 -3.49150255161134 1.6066759209987
FEN 3.711790678655 -3.22589945586592 3.20598459459277
FOR 1.46946001849424 -4.11123846575166 -1.66535976208771
FRO 3.35420409155304 -3.08542904390696 2.99867637557768
FUN 4.81857237993624 -0.920364790217043 1.0087800277737
GAT 3.704199206616 3.77996388970107 1.84386048652883
GEO 6.55742238578397 -1.25028069234167 0.0516079699991331
GER 5.38913033633641 -1.31546275984748 1.8167542864978
GIL -5.8465644148441 0.177449234347118 1.37815352343546
GLE -2.5179472662517 -2.45913678605266 0.333000994045094
GNA -2.72956497203012 -1.508203195746 -3.73721703640703
GOL 1.3068730085787 1.17491130372394 -3.54058066231348
GOO 5.59010141663403 -1.94818601621749 0.132395251613772
GUN 3.57867166673236 -2.38853484477256 2.26164415697106
HAB 2.04557833075964 1.03139765377669 3.46999755911655
HAR 3.06115078342373 2.75456262843234 3.17983688519417
HEY -1.02312900728764 -0.574335475739909 -0.760391320047852
HIC 2.61721346880795 -1.78479110495895 0.0289435018464627
HOD 1.57605907685043 -4.83109665071756 -0.251004803968955
HOK -3.33799212416276 -3.40947057742585 -2.55177967465894
HOL 2.60557898530549 -4.71872138886107 -6.52831271944735
HOM 2.00403370912231 9.22488012667557 1.74885916504413
HOP 1.06980312155984 -3.35428828242287 -3.08666633165055
HUG -5.23927467278789 -0.604144256314084 0.758633028543336
INC 1.53898760716961 -5.01204025678549 -0.129677185996227
IVA 5.59291394038118 -0.944427750286161 1.57034086099346
KAL -1.69343178402496 6.35801793448994 2.62180805220475
KAN -1.01810277937814 -1.90162034645021 -0.301690082216626
KAS -3.64737475819133 0.986130654841728 2.78229760991565
KAW 1.19254297919435 0.0292661574851527 -1.77648266489912
KEN 2.73817661359999 3.36320468856407 1.42175219703499
KEO -3.21514188860113 0.479550535800977 0.245767758787579
KHU -9.43252048123079 2.43666321320247 2.12572330343669
KIK -10.8707325542745 -0.673050498652855 2.40909127067736
KIL -7.59126126260691 0.0426032640698622 1.7850177301383
KIS -11.2822505285532 -3.81688445945672 4.24864029775191
KIT -3.16514476894604 5.40149814112494 1.43482376825971
KLI 1.27246358008685 9.93506540489249 1.53031556383063
KLU 6.63876846411522 0.739997670374054 0.924655746984631
KOG 6.03641577666774 -0.592871333098282 0.24077895963177
KOO -4.01812394050761 -6.29564858910014 -1.38295820497337
KWA 0.704982118218557 -0.533855142772568 -0.291534458327158
KWE 5.5902580333921 0.294284513725332 0.451525911674496
LAC -4.41384552977456 -2.72017786557728 2.70329651565059
LAG 4.10555617488519 -2.33804395622173 -6.94401959163541
LAN 6.75907094343307 -3.03431551875416 1.47913944734361
LCA 2.35666624576973 -3.57860181901474 -0.316417737404886
LEM 4.49899171390162 1.84461380567807 3.04512504612657
LIO 2.76076141165639 -0.49221507476522 3.39845585271974
LNG 2.32885168025127 -1.49749305471882 -0.586333163311545
LON -1.60728443532543 -0.0788909669168331 1.31325672815892
LOU 4.01276262148856 2.88323262730412 3.05113945036472
MAD 2.9101516387844 4.51616399801514 -2.47959264115639
MAM -2.95981399052803 4.76029294503895 -2.46283071967736
MAR -5.23388587613413 1.05420763289804 -0.0950413073038363
MAT 5.71038020657091 -2.65817142648582 0.149763611625355
MCG 2.05822143656134 -4.26552724457059 -5.3611675229797
MCK 3.45327797974423 1.67984880437565 3.58383780628515
MCL -4.75036577676597 -6.58910731737662 3.91540200725998
MCN 1.77531238534304 0.849083684825818 3.61073735802027
MER -3.07915427392168 -3.72634499645377 2.52553018443008
MEZ 1.12504953048204 3.41353385738384 2.26171314019029
MGG -3.56410409760188 -4.28772625625961 -2.07550041421254
MOM 1.4815552369999 3.1003835138575 3.6674641564595
MOR 4.0734535579052 -3.49687093346161 1.60333178039628
MSH 4.25350710955547 0.213822685918099 2.59163738950777
MSL 6.75286078357211 2.49100122535222 -0.863895954480076
MTI -10.6035263816307 1.95589060717574 3.92415872232978
NAH -5.03857924968011 0.00239756748011715 1.90871080749361
NAK 5.46040825437924 0.983599756041883 1.43022755044678
NAN -1.45639879008497 4.43176146081547 -3.1094527272877
NAT 0.473867977168207 -3.70265450900585 0.0925001305875746
NAV 3.70791904109357 -3.5464832728585 1.9329719302313
NEE -0.299355654847118 0.644178862676942 1.63782452428954
NEH -3.41629750265642 2.53560460734939 -4.56978095555291
NEK -2.11523662811462 -0.397256927869789 1.47567954484819
NIC 1.45454117682751 -1.8263685980356 -0.360274867428588
NIM -6.36778743736064 4.15009915251237 -2.06648437350912
NIT -4.95925986337714 2.11602178189177 -4.10054947398323
NOO -1.02847318517504 5.0630453366714 -1.03011957285279
NOR 0.461088556117156 -2.36020355664529 -0.200922152275864
OON -3.80400780185878 -4.2787565469774 3.09785739174357
OTT 4.05084929978732 -4.02021734563383 1.70586563269476
PAC -3.04892859829472 -4.74436509266762 -2.47571599265257
PAL -5.6328884344532 -1.08477874743047 0.682292056550328
PAR -8.49799450035169 -1.8674285455529 2.15962983278857
PAU 1.7319306671416 -3.98806068117157 3.97132867072678
PHI 0.721676848368524 2.19195891805149 -0.351461499864384
PIG 2.0723258522371 4.83065402944182 3.40872037723815
POO 3.6016855784672 3.2877233239477 1.9584838353632
POR 7.75563152901757 3.58943407810674 -0.555190838999742
POS 1.24424500013222 0.551851354218999 -0.0976526529446408
PRA 2.04273247742267 -0.493785191743944 -6.01813288041422
PUN -1.49733059050392 4.10261238997791 -1.78811866616475
QUA -3.30459540826974 -0.524658048036009 0.611531078371838
QUE -4.11197855434194 -5.7754164349755 -1.89251889301959
QUI 0.0483718112791713 0.0185258635303596 -1.6875955549967
QUT -3.32271480151256 -0.484550911615823 0.640977285680406
RAI 4.11607114608162 -4.03601671845364 -0.224108599690988
ROB -2.4764973704161 1.39434962042705 -2.01361555954338
ROD 7.32856280143689 -1.1480046144341 -0.98301387888218
ROS -0.0578120301201838 0.798098555636835 -1.91149214589955
RUS 3.21958976935321 -2.37059915291917 2.98570983103731
SAD 4.94302612719481 -1.30930302795385 2.01885728078472
SAJ -4.33059931703352 1.51467316438042 -4.24350759863039
SAL 4.15572578999576 3.92671511539807 2.74980925106696
SAN 2.05689376182543 -3.94449434560945 1.58378295776807
SAR -3.33210536818619 -2.32491106548435 -3.01179464362063
SAT -0.625056261913902 1.29824786705645 -3.66937377333492
SCO 5.44085169653801 -3.86500472258078 -6.10764169561951
SER 0.458157459744723 -1.35334902279009 -0.644473669283514
SEY -6.49203356149942 6.20786580169274 -2.8693221726625
SFK 6.37642275204396 0.381374962224768 -1.19047371954056
SHA 3.72849742497033 -2.11070553961771 -5.51059642761285
SHK 7.23093063285953 0.25156674007851 -1.16509118459212
SHN 1.78653152016331 0.364119889595313 -3.58223005353725
SHO 0.605809852736982 1.74184852718295 -0.966856185472579
SHW -4.88138523013169 -4.40266713832813 3.03633352078515
SID 0.899111089796977 -3.08534561679757 -0.279102692228805
SIL -0.239701470781252 -3.24652005675082 0.161251723039616
SIN 4.01659060596768 1.97585737657852 2.86445793778705
SIT -10.166419819577 0.672457426283458 5.49985610217701
SLI 2.54026267178054 -1.00245447616496 -0.894062569488259
SLL 1.91912472097145 2.19468234264294 1.73798229939894
SMI 0.530319682415962 0.177481847225943 -6.4771617271569
SNA 7.10890785937195 -1.36395642612244 -0.7552112213729
SNO 1.41458106945289 1.69136007685163 1.83485867341339
SOF -3.83166735942951 -0.819020759793902 -2.67925711149563
SOH -3.83166735942951 -0.819020759793902 -2.67925711149563
SOL -3.83166735942951 -0.819020759793902 -2.67925711149563
SOO -0.533683564130357 2.58140254871503 -3.61928020181015
SOS -1.80119915360624 -2.53311344034145 -2.51940531982644
SOW -3.83166735942951 -0.819020759793902 -2.67925711149563
SPI 1.322786258156 -2.73800173162884 4.61341822019821
SPU 4.40677532164596 3.31129003805643 1.74211831171976
SQA 0.89685086112277 -3.54206722802493 -0.142384796513979
STA -1.78347261089597 3.3968128403164 -0.712731817388206
STE -1.40078331690621 -4.66466479881963 -0.834131895667842
SUS 5.72022613411945 0.139298236669748 1.94761323371548
TAS -9.93402518323196 0.484048930056667 0.446206907986806
TEN -1.28463586494793 -6.056599890705 -1.78568895526247
THO 0.859581103358515 1.28968288234134 1.57125401389736
THR -4.02643917947589 -5.81752102672812 -1.51168055812886
TLE -1.91104977062241 2.20112168310637 0.696935300566837
TML 1.59175980751391 -2.93760749725076 -4.58079655833275
TOB 4.54221224520956 -3.75882445567519 2.36812521349851
TRA 3.7358404109264 -0.0222736411252779 1.5069288276972
TRE 0.574596548242737 0.293193750675593 -2.23596518064154
TRI 1.74653599598659 4.12234149376715 -5.84760444070449
TSE -0.462233765128112 4.22092611243412 2.92414894723725
TSU -4.08145804240001 0.51017449434998 1.2873629758357
TYL -11.6112203227727 -2.37992290141803 3.82470885375098
UKE -4.6774423723135 0.938115772815386 -2.12731728547933
UPB 3.20371251557847 4.46923195087857 1.13800801042365
UPP 4.5587878478344 -3.22216317566095 -5.86091018804668
UPT -3.75788183106847 6.27172224117668 -1.91756385497313
